address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"6915 Silver Dawn Drive, Madison, WI",53718,1,309900,NA,1996.666667,1900.564395,3,1829,2012,2.5,19265,14847,-28503,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.58806893,12.93405676
"5728 Levitan Lane, Madison, WI",53718,1,427900,NA,2426.666667,2602.604618,4,2400,2019,2.5,26600,18976,-38670,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,13.70101824,14.69436813
"6215 Oasis Tr, Madison, WI",53718,1,448587,NA,2819.444444,2876.240734,4,2734,2019,2.5,27886,19701,-40452,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,12.99691279,13.25872906
"113 Milky Way, Madison, WI",53718,1,249900,NA,1982.083333,1555.462592,3,1484,2016,2.5,15535,12746,-23333,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.38830011,10.50662182
"117 Milky Way, Madison, WI",53718,1,249900,NA,1982.083333,1558.607059,3,1487,2016,2.5,15535,12746,-23333,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.36128942,10.50662182
"111 Milky Way, Madison, WI",53718,1,245900,NA,1982.083333,1557.558903,3,1486,2016,2.5,15286,12606,-22988,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,13.15627077,10.3384486
"1232 Brunette Downs Drive, Madison, WI",53718,1,343990,NA,2114.583333,2252.388958,3,2141,2019,2.5,21384,16040,-31440,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,12.72685751,13.55625616
"6309 Woods Farm Road, Madison, WI",53718,1,339900,NA,1321.388889,1586.907254,2,1514,2019,2,21130,15897,-31088,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,17.84918427,21.43577885
"4318 Honeypie Drive, Madison, WI",53718,1,259900,NA,2510.333333,1842.630423,4,1731,2003,3,16156,13096,-24194,4.3,5.7,11,9.7,89.1,6.4,16.3,0,33.6,inf,11.75403003,8.627672288
"140 N Star Drive, Madison, WI",53718,1,286900,NA,1942.083333,1707.518112,3,1638,2019,2.5,17835,14042,-26521,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,14.00180365,12.31066295
"1811 Autumn Lake Parkway, Madison, WI",53718,1,304900,NA,1820,1795.797186,3,1656,2019,2,18954,14672,-28072,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,14.14877667,13.96062271
"1306 Brunette Downs Drive, Madison, WI",53718,1,324900,NA,2114.583333,1615.912863,3,1536,2018,2.5,20197,15372,-29795,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,16.75523515,12.80394089
"721 Aztalan Drive, Madison, WI",53718,1,332900,NA,3327.777778,3199.473905,5,3079,2001,3.5,20694,15652,-30484,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,8.670696337,8.33639399
"881 Kottke Drive, Madison, WI",53719,1,77500,NA,630,682.4459579,1,590,1985,1,4818,6712,-8478,1.9,0.9,14.6,5.1,66.3,9,10.4,3.6,28.3,inf,9.463508808,10.25132275
